"","ortho","klatt","neighbors","degree","c"
"7904","him","hIm","dIm;JIm;h@m;hIr;hEm;hIk;hId;hIl;hIp;hIz;hIs;hIt;hIC;hom;h^m;lIm;rIm;vIm;hwIm;hum",20,0.294736842105263
"7905","himself","hImsElf","",0,NA
"7906","hind","hYnd","bYnd;fYnd;h@nd;hYd;hWnd;kYnd;mYnd;rYnd",8,0.392857142857143
"7907","hinder","hIndX","sIndX;hIndi;tIndX",3,0.333333333333333
"7908","Hindi","hIndi","h@ndi;hIndX;wIndi",3,0
"7909","hindmost","hYndmost","",0,NA
"7910","hindrance","hIndrxns","",0,NA
"7911","hindsight","hYndsYt","",0,NA
"7912","Hinduism","hInduIzM","",0,NA
"7913","hinge","hInJ","bInJ;hInt;sInJ;tInJ",4,0.5
"7914","hint","hInt","dInt;hcnt;hIlt;hInJ;hIt;h^nt;lInt;mInt;kInt;tInt",10,0.266666666666667
"7915","hinterland","hIntXl@nd","",0,NA
"7916","hip","hIp","CIp;dIp;JIp;h@p;hip;hIr;hEp;hIk;hId;hIl;hIm;hIz;hIs;hIt;hIC;hup;hap;hop;kIp;lIp;nIp;pIp;rIp;SIp;sIp;tIp;hwIp;zIp",28,0.30952380952381
"7917","hippodrome","hIpxdrom","",0,NA
"7918","hippopotamus","hIpxpatxmxs","",0,NA
"7919","hipster","hIpstX","tIpstX",1,NA
"7920","hire","hYr","dYr;fYr;hEr;hIr;hYt;hYd;hY;hYk;hYv;Yr;lYr;mYr;pYr;SYr;sYr;tYr;hor;wYr",18,0.379084967320261
"7921","hirsute","hRsut","",0,NA
"7922","his","hIz","fIz;h@z;hez;hIr;hRz;hIk;hId;hIl;hIm;hIp;hIs;hIt;hIC;hoz;Iz;hwIz;huz",17,0.345588235294118
"7923","hiss","hIs","hIr;hRs;hIk;hId;hIl;hIm;hIp;hIz;hIt;hIC;hWs;kIs;mIs;DIs",14,0.43956043956044
"7924","histamine","hIstxmin","",0,NA
"7925","historian","hIstorixn","",0,NA
"7926","historic","hIstcrIk","",0,NA
"7927","historicity","hIstxrIs|ti","",0,NA
"7928","historiographer","hIstoriagrxfX","",0,NA
"7929","history","hIstXi","mIstXi",1,NA
"7930","histrionic","hIstrianIk","",0,NA
"7931","hit","hIt","bIt;CIt;fIt;h@t;het;hIr;hit;hYt;hIk;hId;hIl;hIlt;hIm;hInt;hIp;hIz;hIs;hIC;hut;hat;hRt;h^t;It;kIt;nIt;lIt;mIt;pIt;sIt;tIt;hwIt;wIt;rIt",33,0.274621212121212
"7932","hitch","hIC","bIC;dIC;h@C;hIr;hIk;hId;hIl;hIm;hIp;hIz;hIs;hIt;h^C;IC;nIC;pIC;rIC;hwIC;wIC",19,0.345029239766082
"7933","hither","hIDX","dIDX;hEDX;TIDX;hwIDX;wIDX;zIDX",6,0.466666666666667
"7934","hive","hYv","CYv;dYv;fYv;JYv;h@v;hiv;hYt;hYd;hY;hYk;hYr;hYvz;hov;rYv;wYv",15,0.266666666666667
"7935","hives","hYvz","h@vz;hYv;hUvz;nYvz;lYvz;wYvz",6,0.266666666666667
"7936","hoard","hord","bord;kord;ford;gord;hard;hors;hori;hold;horn;lord;pord;sord;word;hor",14,0.373626373626374
"7937","hoarding","hordIG","",0,NA
"7938","hoarfrost","horfrcst","",0,NA
"7939","hoarse","hors","kors;fors;gors;hord;hori;hoks;horn;horsi;nors;sors;hor",11,0.309090909090909
"7940","hoary","hori","dori;gori;h@ri;hord;hors;holi;horn;horsi;hUri;tori;hor",11,0.2
"7941","hoax","hoks","koks;hEks;hors;hokM",4,0
"7942","hob","hab","bab;kab;fab;gab;hRb;habL;habi;hak;had;hap;hat;h^b;Jab;nab;lab;mab;rab;sab",18,0.34640522875817
"7943","hobble","habL","babL;kabL;gabL;hab;habi;wabL",6,0.466666666666667
"7944","hobby","habi","babi;hab;habL;haki;hali;nabi;labi",7,0.238095238095238
"7945","hobgoblin","habgabl|n","",0,NA
"7946","hobo","hobo","obo",1,NA
"7947","hock","hak","bak;Cak;kak;dak;h@k;hek;hark;hck;hIk;hYk;hab;haki;had;hUk;hap;hat;nak;lak;mak;pak;rak;Sak;sak",23,0.300395256916996
"7948","hockey","haki","kaki;habi;hak;hali;Jaki;saki",6,0.266666666666667
"7949","hod","had","kad;gad;h@d;hard;hEd;hRd;hid;hId;hYd;hab;hak;hUd;hap;hat;nad;ad;pad;rad;Sad;sad;wad",21,0.3
"7950","hodgepodge","haJpaJ","",0,NA
"7951","hoe","ho","bo;do;fo;go;hc;he;hi;hR;hY;hol;hom;hon;hop;hoz;hov;hW;no;lo;mo;o;ro;so;So;Do;to;hu;hor;wo",28,0.351851851851852
"7952","hog","hcg","bcg;dcg;fcg;h@g;hcl;hc;hck;h^g;lcg",9,0.277777777777778
"7953","hogshead","hcgzhEd","",0,NA
"7954","hoist","hOst","fOst;hest;hYst;host;JOst;mOst;vOst",7,0.428571428571429
"7955","hokum","hokM","hoks;okM",2,0
"7956","hold","hold","bold;kold;fold;gold;hEld;hord;hol;holi;mold;old;sold;told;wold",13,0.474358974358974
"7957","holdup","hold^p","",0,NA
"7958","hole","hol","bol;kol;dol;fol;gol;hel;hcl;hil;hEl;hIl;ho;hold;holi;hom;hon;hop;hoz;hov;hWl;h^l;hRl;nol;mol;pol;rol;Sol;sol;Tol;tol;vol;hor",31,0.303225806451613
"7959","holiday","hal|de","",0,NA
"7960","holiness","holin|s","",0,NA
"7961","holla","halx","halX;halo;hali;hulx",4,0.5
"7962","hollo","halo","falo;halX;hxlo;h@lo;helo;hElo;halx;hali;walo",9,0.277777777777778
"7963","holly","hali","kali;dali;fali;halX;habi;haki;halx;halo;holi;Jali;vali",11,0.254545454545455
"7964","holmium","holmixm","",0,NA
"7965","holocaust","halxkcst","",0,NA
"7966","holster","holstX","bolstX;polstX",2,1
"7967","holy","holi","goli;hori;hold;hol;hali;homli;moli;soli",8,0.142857142857143
"7968","homage","hamIJ","",0,NA
"7969","homburg","hambRg","",0,NA
"7970","home","hom","kom;dom;fom;nom;h@m;hEm;hIm;ho;hol;hon;hop;hoz;hov;h^m;lom;om;rom;tom;hum;hor",20,0.310526315789474
"7971","homely","homli","holi",1,NA
"7972","homemade","hommed","",0,NA
"7973","homeroom","homrum","",0,NA
"7974","homesick","homsIk","",0,NA
"7975","homicidal","hamxsYdL","hamxsYd",1,NA
"7976","homicide","hamxsYd","hamxsYdL",1,NA
"7977","homiletic","hamxlEtIk","",0,NA
"7978","homily","hamxli","hamxni",1,NA
"7979","hominy","hamxni","damxni;hamxli;namxni",3,0.333333333333333
"7980","homogeneous","homxJinixs","",0,NA
"7981","homogenize","hxmaJ|nYz","",0,NA
"7982","homograph","hamxgr@f","",0,NA
"7983","homologous","homalxg|s","",0,NA
"7984","homonym","hamxnIm","",0,NA
"7985","homophone","hamxfon","",0,NA
"7986","homosexual","homxsEkSuL","",0,NA
"7987","hone","hon","bon;kon;hEn;ho;hol;hom;hop;horn;hoz;hov;h^n;non;lon;mon;on;fon;pon;ron;son;Son;ton;hor",22,0.385281385281385
"7988","honest","an|st","Rn|st",1,NA
"7989","honey","h^ni","f^ni;g^ni;h^n;h^nC;h^nt;h^zi;m^ni;r^ni;t^ni",9,0.361111111111111
"7990","honeymoon","h^nimun","",0,NA
"7991","honk","hcGk","h@Gk;hck;h^Gk",3,0.333333333333333
"7992","honor","anX","InX;atX",2,0
"7993","honorable","anXxbL","apXxbL",1,NA
"7994","honorarily","anxrErxli","",0,NA
"7995","honorarium","anXErixm","",0,NA
"7996","honorary","anXEri","",0,NA
"7997","hood","hUd","kUd;gUd;h@d;hEd;hRd;hid;hId;hYd;had;hUf;hUk;SUd;wUd",13,0.358974358974359
"7998","hoodlum","hudlxm","",0,NA
"7999","hoodoo","hudu","vudu",1,NA
"8000","hoodwink","hUdwIGk","",0,NA
"8001","hooey","hui","bui;hi;hup;hut;hRi;hu;hum;huz",8,0.428571428571429
"8002","hoof","hUf","h@f;hUd;hUk;h^f;wUf",5,0.2
"8003","hook","hUk","bUk;kUk;h@k;hek;hck;hIk;hYk;hak;hUd;hUf;hUkx;lUk;nUk;rUk;SUk;tUk",16,0.308333333333333
"8004","hookah","hUkx","hUk",1,NA
"8005","hookup","hUk^p","hIk^p",1,NA
"8006","hooligan","hulIg|n","",0,NA
"8007","hoop","hup","kup;dup;h@p;hip;hEp;hIp;hui;hut;hap;hop;lup;pup;sup;hu;hum;hwup;huz",17,0.257352941176471
"8008","hoopla","hupla","",0,NA
"8009","hoot","hut","but;Sut;kut;h@t;het;hit;hYt;hIt;hui;hup;hat;hRt;h^t;Jut;lut;mut;nut;rut;sut;tut;hu;hum;huz",23,0.328063241106719
"8010","hootenanny","hutN@ni","",0,NA
"8011","hooves","hUvz","h@vz;hYvz",2,1
"8012","hop","hap","Cap;kap;fap;h@p;harp;hip;hEp;hIp;hab;hak;had;hup;hop;hat;lap;map;pap;Sap;sap;tap",20,0.3
"8013","hope","hop","kop;dop;h@p;hip;hEp;hIp;ho;hol;hom;hon;hup;hap;hoz;hov;mop;op;pop;rop;sop;top;hor",21,0.304761904761905
"8014","hopscotch","hapskaC","",0,NA
"8015","horehound","horhWnd","",0,NA
"8016","horizon","hXYzN","",0,NA
"8017","horizontal","hcr|zantL","",0,NA
"8018","hormonal","hormonL","hormon",1,NA
"8019","hormone","hormon","hormonL",1,NA
"8020","horn","horn","born;korn;hord;hors;hori;hon;lorn;morn;Sorn;Torn;torn;worn;hor",13,0.448717948717949
"8021","hornbook","hornbUk","",0,NA
"8022","hornet","horn|t","",0,NA
"8023","hornpipe","hornpYp","",0,NA
"8024","horological","hcrxlaJIkL","",0,NA
"8025","horologist","horalxJ|st","",0,NA
"8026","horology","horalxJi","",0,NA
"8027","horoscope","hcr|skop","",0,NA
"8028","horrendous","hcrEnd|s","",0,NA
"8029","horrible","hcrxbL","",0,NA
"8030","horrid","hcrxd","",0,NA
"8031","horrify","hcrxfY","",0,NA
"8032","horror","hcrX","hckX;hczX",2,1
"8033","horseshoe","horsSu","",0,NA
"8034","horsewhip","horshwIp","",0,NA
"8035","horsy","horsi","forsi;hors;hori",3,0.333333333333333
"8036","hortative","hort|tIv","",0,NA
"8037","hortatory","hortxtori","",0,NA
"8038","horticultural","hort|k^lCXL","",0,NA
"8039","horticulture","hortxk^lCX","",0,NA
"8040","hosanna","hoz@nx","",0,NA
"8041","hose","hoz","boz;Coz;doz;h@z;hez;hRz;hIz;ho;hol;hom;hon;hop;hov;noz;poz;roz;Doz;hor;huz",19,0.304093567251462
"8042","hosiery","hoZXi","",0,NA
"8043","hospice","hasp|s","",0,NA
"8044","hospitable","haspItxbL","",0,NA
"8045","hospital","haspItL","",0,NA
"8046","hospitality","haspxt@l|ti","",0,NA
"8047","hospitalization","haspItLxzeS|n","",0,NA
"8048","hospitalize","haspItxlYz","",0,NA
"8049","host","host","bost;kost;gost;hest;hYst;hOst;most;post;rost;tost",10,0.533333333333333
"8050","hostage","hastIJ","",0,NA
"8051","hostel","hastL","",0,NA
"8052","hostess","host|s","",0,NA
"8053","hostility","hastIl|ti","",0,NA
"8054","hostler","haslX","halX",1,NA
"8055","hot","hat","bat;kat;dat;gat;hart;h@t;het;hit;hYt;hIt;hab;hak;had;hut;hap;hRt;h^t;Jat;nat;lat;pat;rat;Sat;sat;tat;wat;hwat;yat",28,0.333333333333333
"8056","hotel","hotEl","motEl",1,NA
"8057","hotfoot","hatfUt","",0,NA
"8058","hotheaded","hathEd|d","",0,NA
"8059","hotshot","hatSat","",0,NA
"8060","hound","hWnd","bWnd;fWnd;h@nd;hYnd;mWnd;pWnd;rWnd;sWnd;wWnd",9,0.611111111111111
"8061","hour","Wr","Er;ar;dWr;Ir;Yr;lWr;or;Wrz;Wt;Wl;sWr",11,0.254545454545455
"8062","houri","hUri","h@ri;hori;JUri",3,0.333333333333333
"8063","house","hWs","hRs;hIs;hW;hWl;lWs;mWs;sWs",7,0.238095238095238
"8064","houseboat","hWsbot","hWskot",1,NA
"8065","housecoat","hWskot","hWsbot",1,NA
"8066","household","hWshold","",0,NA
"8067","houseless","hWslxs","",0,NA
"8068","houses","hWz|z","",0,NA
"8069","housewife","hWswYf","",0,NA
"8070","housework","hWswRk","",0,NA
"8071","housing","hWzIG","",0,NA
"8072","hove","hov","kov;dov;h@v;hiv;hYv;ho;hol;hom;hon;hop;hoz;mov;rov;hor;wov",15,0.323809523809524
"8073","hovel","h^vL","h^vX;h^dL;h^sL;S^vL",4,0.166666666666667
"8074","hover","h^vX","k^vX;h^vL",2,0
"8075","how","hW","bW;CW;kW;dW;hc;he;hi;hR;hY;ho;hWs;hWl;mW;nW;sW;DW;vW;hu",18,0.379084967320261
"8076","howbeit","hWbixt","",0,NA
"8077","howdah","hWdx","gWdx",1,NA
"8078","however","hWEvX","huEvX",1,NA
"8079","howitzer","hWxtsX","",0,NA
"8080","howl","hWl","kWl;fWl;hel;hcl;hil;hEl;hIl;hol;hWs;hW;h^l;hRl;JWl;Wl;yWl",15,0.371428571428571
"8081","howsoever","hWsoEvX","husoEvX",1,NA
"8082","hoyden","hOdN","hIdN",1,NA
"8083","huarache","wxraCi","",0,NA
"8084","hub","h^b","C^b;k^b;d^b;hRb;hab;h^f;h^g;h^l;h^m;h^n;h^G;h^S;h^t;h^C;n^b;p^b;r^b;s^b;t^b",19,0.380116959064327
"8085","hubbub","h^b^b","",0,NA
"8086","hubris","hyubr|s","",0,NA
"8087","huckleberry","h^kLbEri","",0,NA
"8088","huckster","h^kstX","",0,NA
"8089","huddle","h^dL","k^dL;f^dL;h^vL;hRdL;h^sL;m^dL;p^dL",7,0.333333333333333
"8090","huff","h^f","b^f;k^f;h@f;hUf;h^b;h^g;h^l;h^m;h^n;h^G;h^S;h^t;h^C;l^f;m^f;p^f;r^f;t^f",18,0.379084967320261
"8091","hug","h^g","b^g;C^g;d^g;h@g;hcg;h^b;h^f;h^l;h^m;h^n;h^G;h^S;h^t;h^C;J^g;l^g;m^g;p^g;r^g;T^g;t^g",21,0.39047619047619
"8092","huge","hyuJ","hyu;hyun",2,1
"8093","Huguenot","hyug|nat","",0,NA
"8094","hula","hulx","halx",1,NA
"8095","hulk","h^lk","b^lk;h^l;h^Gk;h^sk;s^lk",5,0.2
"8096","hulking","h^lkIG","",0,NA
"8097","hull","h^l","k^l;d^l;g^l;hel;hcl;hil;hEl;hIl;hol;hWl;h^b;h^f;h^g;h^lk;h^m;h^n;h^G;hRl;h^S;h^t;h^C;l^l;m^l;n^l",24,0.286231884057971
"8098","hullabaloo","h^l|bxlu","",0,NA
"8099","hum","h^m","b^m;C^m;k^m;d^m;g^m;h@m;hEm;hIm;hom;h^b;h^f;h^g;h^l;h^mp;h^n;h^G;h^S;h^t;h^C;m^m;n^m;r^m;s^m;T^m;hum",25,0.303333333333333
"8100","human","hyumxn","hyumen;hyumxs",2,0
"8101","humane","hyumen","hyumxn",1,NA
"8102","humanism","hyumxnIzM","",0,NA
"8103","humanistic","hyumxnIstIk","",0,NA
"8104","humanitarian","hyum@n|tErixn","",0,NA
"8105","humanity","hyum@n|ti","",0,NA
"8106","humanization","hyumxn|zeS|n","",0,NA
"8107","humanize","hyumxnYz","",0,NA
"8108","humble","h^mbL","f^mbL;J^mbL;m^mbL;r^mbL;t^mbL;^mbL",6,1
"8109","humbug","h^mb^g","",0,NA
"8110","humdinger","h^mdIGX","",0,NA
"8111","humerus","hyumXxs","hyumXxst;hyumXlxs;hyumxs",3,0
"8112","humid","hyum|d","",0,NA
"8113","humidify","hyumIdxfY","",0,NA
"8114","humidity","hyumId|ti","",0,NA
"8115","humidly","hyumxdli","",0,NA
"8116","humidor","hyumxdor","",0,NA
"8117","humiliate","hyumIliet","",0,NA
"8118","hummingbird","h^mIGbRd","",0,NA
"8119","hummock","h^mxk","h@mxk",1,NA
"8120","humor","hyumX","",0,NA
"8121","humorist","hyumXxst","hyumXxs",1,NA
"8122","humorless","hyumXlxs","hyumXxs",1,NA
"8123","hump","h^mp","b^mp;C^mp;d^mp;hEmp;h^m;J^mp;l^mp;p^mp;r^mp;T^mp",10,0.622222222222222
"8124","humus","hyumxs","hyumxn;hyumXxs",2,0
"8125","Hun","h^n","b^n;d^n;f^n;g^n;hEn;hon;h^ni;h^b;h^f;h^g;h^l;h^m;h^nC;h^G;h^nt;h^S;h^t;h^C;n^n;w^n;p^n;r^n;S^n;s^n;t^n",25,0.323333333333333
"8126","hunch","h^nC","b^nC;hcnC;h^ni;h^n;h^nt;h^C;l^nC;m^nC;p^nC",9,0.277777777777778
"8127","hundred","h^ndrxd","",0,NA
"8128","hung","h^G","b^G;d^G;h@G;h^b;h^f;h^g;h^l;h^m;h^n;h^Gk;h^S;h^t;h^C;l^G;r^G;s^G;t^G;y^G",18,0.372549019607843
"8129","Hungarian","h^GgErixn","",0,NA
"8130","hunger","h^GgX","h^GkX;m^GgX",2,0
"8131","hunk","h^Gk","b^Gk;C^Gk;d^Gk;f^Gk;h@Gk;hcGk;h^lk;h^G;h^GkX;h^sk;J^Gk;m^Gk;p^Gk;s^Gk",14,0.32967032967033
"8132","hunker","h^GkX","b^GkX;h@GkX;h^GgX;h^Gk;y^GkX",5,0.1
"8133","hunt","h^nt","b^nt;hcnt;hInt;h^ni;h^n;h^nC;h^t;p^nt;r^nt;S^nt",10,0.244444444444444
"8134","huntress","h^ntr|s","",0,NA
"8135","huntsman","h^nsmxn","",0,NA
"8136","hurdle","hRdL","kRdL;gRdL;hRd;h^dL;hRtL",5,0.1
"8137","hurl","hRl","CRl;kRl;Rl;fRl;gRl;hel;hcl;hil;hRd;hRs;hEl;hR;hRb;hRz;hIl;hol;hWl;h^l;hRi;hRt;pRl;hwRl",22,0.277056277056277
"8138","hurrah","hXa","",0,NA
"8139","hurricane","hRxken","",0,NA
"8140","hurry","hRi","kRi;fRi;hi;hRd;hRs;hR;hRb;hRz;hui;hRl;hRt;sRi;wRi",13,0.371794871794872
"8141","hurt","hRt","CRt;kRt;dRt;gRt;h@t;het;hRd;hRs;hit;hYt;hR;hRb;hRz;hIt;hut;hat;hRl;hRi;hRtL;h^t;pRt;SRt;wRt",23,0.276679841897233
"8142","hurtle","hRtL","fRtL;hRdL;hRt;kRtL;mRtL;tRtL",6,0.4
"8143","husband","h^zbxnd","",0,NA
"8144","hush","h^S","g^S;h@S;h^b;h^f;h^g;h^l;h^m;h^n;h^G;h^t;h^C;l^S;m^S;r^S",14,0.461538461538462
"8145","husk","h^sk","d^sk;h^lk;h^Gk;h^ski;h^sL;m^sk;r^sk;t^sk",8,0.25
"8146","husky","h^ski","h^sk",1,NA
"8147","hussar","h^zar","h^za",1,NA
"8148","hussy","h^zi","hezi;h^ni;h^za",3,0
"8149","hustings","h^stIGz","",0,NA
"8150","hustle","h^sL","b^sL;h@sL;h^vL;h^dL;h^sk;m^sL;r^sL;t^sL",8,0.25
"8151","hut","h^t","b^t;k^t;g^t;h@t;het;hit;hYt;hIt;hut;hat;h^b;h^f;h^g;h^l;h^m;h^n;h^G;h^nt;hRt;h^S;h^C;J^t;m^t;n^t;p^t;r^t;S^t",27,0.287749287749288
"8152","hutch","h^C","d^C;h@C;hIC;h^b;h^f;h^g;h^l;h^m;h^n;h^nC;h^G;h^S;h^t;m^C;s^C;t^C",16,0.366666666666667
"8153","hutment","h^tmxnt","",0,NA
"8154","huzza","h^za","h^zar;h^zi",2,0
"8155","hyacinth","hYxsNT","",0,NA
"8156","hybrid","hYbrxd","",0,NA
"8157","hybridization","hYbrxdxzeS|n","",0,NA
"8158","hybridize","hYbrxdYz","",0,NA
"8159","hydrangea","hYdrenJx","",0,NA
"8160","hydrant","hYdrxnt","",0,NA
"8161","hydrate","hYdret","",0,NA
"8162","hydraulic","hYdrclIk","",0,NA
"8163","hydro","hYdro","",0,NA
"8164","hydrocarbon","hYdrxkarb|n","",0,NA
"8165","hydroelectric","hYdroxlEktrIk","",0,NA
"8166","hydrogen","hYdrxJ|n","",0,NA
"8167","hydrogenous","hYdraJ|n|s","",0,NA
"8168","hydrolysis","hYdral|s|s","",0,NA
"8169","hydrometer","hYdramxtX","",0,NA
"8170","hydrophobia","hYdrxfobix","",0,NA
"8171","hydroplane","hYdrxplen","",0,NA
"8172","hydroponics","hYdrxpanIks","",0,NA
"8173","hydrotherapy","hYdroTErxpi","",0,NA
"8174","hydrous","hYdr|s","",0,NA
"8175","hydroxide","hYdraksYd","",0,NA
"8176","hyena","hYinx","",0,NA
"8177","hygiene","hYJin","",0,NA
"8178","hygienic","hYJEnIk","",0,NA
"8179","hygienist","hYJin|st","",0,NA
"8180","hymeneal","hYmxniL","",0,NA
"8181","hymnal","hImnL","",0,NA
"8182","hymnody","hImn|di","",0,NA
"8183","hyperacidity","hYpXxsId|ti","",0,NA
"8184","hyperbole","hYpRbxli","",0,NA
"8185","hyperborean","hYpXborixn","",0,NA
"8186","hypercritical","hYpXkrItIkL","",0,NA
"8187","hypertrophic","hYpRtrofIk","",0,NA
"8188","hypertrophy","hYpRtrofi","",0,NA
"8189","hyphen","hYfxn","sYfxn",1,NA
"8190","hyphenate","hYfxnet","",0,NA
"8191","hyphenation","hYfxneS|n","",0,NA
"8192","hypnosis","hIpnos|s","",0,NA
"8193","hypnotic","hIpnatIk","",0,NA
"8194","hypnotism","hIpn|tIzM","",0,NA
"8195","hypnotist","hIpn|tIst","",0,NA
"8196","hypnotize","hIpn|tYz","",0,NA
"8197","hypochondria","hYpxkandrix","",0,NA
"8198","hypocrisy","hIpakr|si","",0,NA
"8199","hypocrite","hIpxkrIt","",0,NA
"8200","hypocritical","hIpxkrItIkL","",0,NA
"8201","hypodermic","hYpxdRmIk","",0,NA
"8202","hypotenuse","hYpatNus","",0,NA
"8203","hypothecate","hYpaTxket","",0,NA
"8204","hypothesis","hYpaT|s|s","",0,NA
"8205","hypothesize","hYpaT|sYz","",0,NA
"8206","hypothetical","hYpxTEtIkL","",0,NA
"8207","hyssop","hIsxp","",0,NA
"8208","hysterectomize","hIstXEktxmYz","",0,NA
"8209","hysterectomy","hIstXEktxmi","",0,NA
"8210","hysteria","hIstErix","",0,NA
"8211","iamb","Y@mb","",0,NA
"8212","iambic","Y@mbIk","",0,NA
"8213","ibex","YbEks","",0,NA
"8214","ibidem","IbxdEm","",0,NA
"8215","ibis","Ybxs","@bxs",1,NA
"8216","ice","Ys","es;Yl;@s;Y;Yx;dYs;nYs;Ysi;Yr;lYs;mYs;pYs;rYs;Es;^s;vYs",16,0.275
"8217","icebreaker","YsbrekX","",0,NA
"8218","icehouse","YshWs","",0,NA
"8219","Icelandic","Ysl@ndIk","",0,NA
"8220","iceman","Ysm@n","",0,NA
"8221","ichor","Ykor","kor;skor",2,1
"8222","ichthyology","IkTialxJi","",0,NA
"8223","icicle","YsIkL","bYsIkL;sIkL",2,0
"8224","icon","Ykan","kan",1,NA
"8225","iconoclasm","Ykanxkl@zM","",0,NA
"8226","iconoclast","Ykanxkl@st","",0,NA
"8227","ictus","Ikt|s","",0,NA
"8228","icy","Ysi","si;Yri;Ys;Yvi",4,0.166666666666667
"8229","id","Id","@d;ed;bId;CId;dId;Ir;hId;If;Il;In;Iz;It;IC;kId;lId;mId;ad;od;rId",19,0.321637426900585
"8230","idea","Ydix","Ydil",1,NA
"8231","ideal","Ydil","dil;Ydix;Ydili",3,0
"8232","idealism","YdilIzM","",0,NA
"8233","idealistic","YdixlIstIk","",0,NA
"8234","idealization","YdilxzeS|n","",0,NA
"8235","idealize","YdilYz","YdxlYz",1,NA
"8236","ideally","Ydili","dili;Ydil;Ydli",3,0
"8237","idem","YdEm","",0,NA
"8238","identical","YdEntIkL","",0,NA
"8239","identification","YdEnt|f|keS|n","",0,NA
"8240","identify","YdEnt|fY","",0,NA
"8241","ideological","YdixlaJIkL","",0,NA
"8242","ideology","YdialxJi","",0,NA
"8243","ides","Ydz","@dz;YdX;YdL;adz",4,0.333333333333333
"8244","idiocy","Idi|si","",0,NA
"8245","idiom","Idixm","Indixm",1,NA
"8246","idiomatic","Idixm@tIk","",0,NA
"8247","idiosyncrasy","Idi|sIGkr|si","",0,NA
"8248","idiot","Idi|t","",0,NA
"8249","idiotic","IdiatIk","",0,NA
"8250","idle","YdL","@dL;YdX;Ydz;sYdL;tYdL",5,0.2
"8251","idly","Ydli","Ydili",1,NA
"8252","idolater","Ydal|tX","",0,NA
"8253","idolize","YdxlYz","YdilYz",1,NA
"8254","idyllic","YdIlIk","",0,NA
"8255","if","If","Ir;Ef;Id;Ifi;Il;In;Iz;It;IC;mIf;of;cf;tIf",13,0.320512820512821
"8256","iffy","Ifi","Iri;fi;If;JIfi",4,0
"8257","igloo","Iglu","glu",1,NA
"8258","igneous","Ignixs","lIgnixs",1,NA
"8259","ignite","IgnYt","",0,NA
"8260","ignition","IgnIS|n","",0,NA
"8261","ignoble","IgnobL","InobL",1,NA
"8262","ignominious","IgnxmInixs","",0,NA
"8263","ignominy","IgnxmIni","",0,NA
"8264","ignoramus","IgnXemxs","",0,NA
"8265","ignorance","IgnXxns","",0,NA
"8266","ignore","Ignor","",0,NA
"8267","iguana","Igwanx","",0,NA
"8268","ilk","Ilk","bIlk;Elk;Il;IGk;mIlk;sIlk",6,0.2
"8269","ill","Il","el;Yl;cl;bIl;CIl;dIl;Ir;Rl;il;El;fIl;gIl;hIl;Id;If;Ilk;In;Iz;It;IC;kIl;mIl;nIl;Ol;Wl;pIl;rIl;SIl;sIl;tIl;wIl",31,0.331182795698925
"8270","illegal","IligL","IligLi;ligL",2,0
"8271","illegality","Ilig@l|ti","",0,NA
"8272","illegally","IligLi","IligL",1,NA
"8273","illegibility","IlEJ|bIl|ti","lEJ|bIl|ti",1,NA
"8274","illegible","Il^J|bL","",0,NA
"8275","illegibly","IlEJ|bli","lEJ|bli",1,NA
"8276","illegitimate","IlIJItxmxt","lIJItxmxt",1,NA
"8277","illiberal","IlIbXL","lIbXL",1,NA
"8278","illicit","IlIs|t","xlIs|t;lIs|t",2,1
"8279","illimitable","IlImxtxbL","InImxtxbL",1,NA
"8280","illiterate","IlItX|t","lItX|t",1,NA
"8281","illogical","IlaJIkL","",0,NA
"8282","illume","Ilum","blum;flum;glum;lum;plum",5,1
"8283","illuminate","Ilumxnet","",0,NA
"8284","illusion","IluZ|n","",0,NA
"8285","illusive","IlusIv","xlusIv",1,NA
"8286","illusory","IlusXi","",0,NA
"8287","illustrate","Il|stret","",0,NA
"8288","illustration","Il|streS|n","",0,NA
"8289","illustrative","Il^strxtIv","",0,NA
"8290","illustrious","Il^strixs","",0,NA
"8291","image","ImIJ","ImRJ;ImIr;ImIt;mIJ",4,0.166666666666667
"8292","imaginable","Im@J|nxbL","",0,NA
"8293","imaginal","Im@J|nL","Im@J|n",1,NA
"8294","imaginary","Im@J|nEri","",0,NA
"8295","imagination","Im@J|neS|n","",0,NA
"8296","imaginative","Im@J|n|tIv","",0,NA
"8297","imagine","Im@J|n","Im@J|nL",1,NA
"8298","imagism","ImIJIzM","",0,NA
"8299","imago","Imego","",0,NA
"8300","imbalance","Imb@l|ns","",0,NA
"8301","imbecile","ImbxsL","",0,NA
"8302","imbecilic","ImbxsIlIk","",0,NA
"8303","imbecility","ImbxsIl|ti","",0,NA
"8304","imbed","ImbEd","",0,NA
"8305","imbibe","ImbYb","",0,NA
"8306","imbricate","ImbrIkxt","",0,NA
"8307","imbrication","ImbrxkeS|n","EmbrxkeS|n",1,NA
"8308","imbroglio","Imbrolio","",0,NA
"8309","imbrue","Imbru","Imbyu",1,NA
"8310","imbue","Imbyu","Imbru",1,NA
"8311","imitable","ImxtxbL","IrxtxbL",1,NA
"8312","imitate","Imxtet","Imxlet;Irxtet",2,0
"8313","imitation","ImxteS|n","ImxleS|n;IrxteS|n",2,0
"8314","imitative","ImxtetIv","",0,NA
